Model,Accuracy,Precision,Recall,F1,AUC,Train_Time
LogisticRegression,0.6682926829268293,0.6581196581196581,0.7333333333333333,0.6936936936936937,0.7432380952380953,6.744879484176636
SVM,0.7560975609756098,0.7570093457943925,0.7714285714285715,0.7641509433962265,0.8452380952380952,0.8551020622253418
DecisionTree,1.0,1.0,1.0,1.0,1.0,0.32415151596069336
RandomForest,1.0,1.0,1.0,1.0,1.0,2.287853956222534
KNN,0.848780487804878,0.8775510204081632,0.819047619047619,0.8472906403940886,0.9486666666666667,0.10804343223571777
